trial_id,trial_kind,cell_id,trial_index,trial_seed,code_instance,code_seed,family,rate_label,n,k,rate,p_num,p_den,p_s,transmitted_word_hex,observation_hex,deletion_position,observed_error_weight,forced_error_weight,theorem_offset,theorem_stop_shell_cap,max_generated_attempts,run_exhaustive,run_branch,branch_node_cap,branch_time_ms,code_size,generator_rows_hex,parity_check_rows_hex,code_construction
10,natural,n16_k11_random_systematic_linear_R2_3,10,14833181510536034480,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xb884,0x7884,14,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
11,natural,n16_k11_random_systematic_linear_R2_3,11,2247939173195059307,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x6d5f,0x36af,5,1,,1,1,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
12,natural,n16_k11_random_systematic_linear_R2_3,12,2207437008169275001,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xcf46,0x67b3,0,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
13,natural,n16_k11_random_systematic_linear_R2_3,13,7483063554525249439,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x66d,0x337,1,0,,1,0,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
14,natural,n16_k11_random_systematic_linear_R2_3,14,8554767298082299126,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xfe4a,0x7e4a,14,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
15,natural,n16_k11_random_systematic_linear_R2_3,15,1992780842447901396,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x5117,0x2097,6,1,,1,1,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
16,natural,n16_k11_random_systematic_linear_R2_3,16,10434779837781124020,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x9d88,0x4ec8,4,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
17,natural,n16_k11_random_systematic_linear_R2_3,17,13199256699026281517,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xf813,0x7e13,9,1,,1,1,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
18,natural,n16_k11_random_systematic_linear_R2_3,18,13671820670858729038,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x46af,0x22af,9,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
19,natural,n16_k11_random_systematic_linear_R2_3,19,5857288869755150943,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xbf5b,0x3f53,15,1,,1,1,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
20,natural,n16_k11_random_systematic_linear_R2_3,20,4289353071737457087,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x3b71,0x1b71,12,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
21,natural,n16_k11_random_systematic_linear_R2_3,21,13672135896226973810,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xd216,0x693a,1,2,,1,2,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
22,natural,n16_k11_random_systematic_linear_R2_3,22,2073411281356593727,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x4cbe,0x26de,4,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
23,natural,n16_k11_random_systematic_linear_R2_3,23,3949131681617276120,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xcb49,0x6349,11,0,,1,0,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
24,natural,n16_k11_random_systematic_linear_R2_3,24,17574132046276031432,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x638,0x238,15,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
25,natural,n16_k11_random_systematic_linear_R2_3,25,7585234894383803209,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x69ea,0x35ea,10,0,,1,0,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
26,natural,n16_k11_random_systematic_linear_R2_3,26,10157929823036528466,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x60b6,0x30b6,11,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
27,natural,n16_k11_random_systematic_linear_R2_3,27,8184589306279901884,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x801d,0x4019,9,1,,1,1,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
28,natural,n16_k11_random_systematic_linear_R2_3,28,6137286364791786923,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x5d2e,0x2e96,2,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
29,natural,n16_k11_random_systematic_linear_R2_3,29,1779426767471354277,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xfd7d,0x7ebd,3,0,,1,0,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
30,natural,n16_k11_random_systematic_linear_R2_3,30,3128793636354868272,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x651d,0x310d,10,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
31,natural,n16_k11_random_systematic_linear_R2_3,31,18274562848596615408,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x93c0,0x49e0,1,0,,1,0,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
32,natural,n16_k11_random_systematic_linear_R2_3,32,9604616528702519062,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x66b6,0x335e,5,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
33,natural,n16_k11_random_systematic_linear_R2_3,33,6785280317265274417,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x501f,0x280f,3,0,,1,0,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
34,natural,n16_k11_random_systematic_linear_R2_3,34,10538963577839687750,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x55a7,0x2ad7,4,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
35,natural,n16_k11_random_systematic_linear_R2_3,35,935393735005545218,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x574f,0x3ba7,2,1,,1,1,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
36,natural,n16_k11_random_systematic_linear_R2_3,36,2504073307401807371,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xc168,0x4168,14,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
37,natural,n16_k11_random_systematic_linear_R2_3,37,14128857994556545447,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xc892,0x6406,9,3,,1,3,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
38,natural,n16_k11_random_systematic_linear_R2_3,38,8229484550037291494,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xdb6,0x45b6,10,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
39,natural,n16_k11_random_systematic_linear_R2_3,39,5789424893985425170,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x3422,0x5422,13,1,,1,1,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
40,natural,n16_k11_random_systematic_linear_R2_3,40,5751830127291405795,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x3d29,0x1ea9,7,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
41,natural,n16_k11_random_systematic_linear_R2_3,41,18107349321979180547,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x62de,0x317e,5,0,,1,0,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
42,natural,n16_k11_random_systematic_linear_R2_3,42,7841764969694937150,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x8a5,0x8a5,12,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
43,natural,n16_k11_random_systematic_linear_R2_3,43,1470712302220704850,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x8026,0x4012,2,0,,1,0,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
44,natural,n16_k11_random_systematic_linear_R2_3,44,3680229472219596309,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x79d,0x18c,3,3,,1,3,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
45,natural,n16_k11_random_systematic_linear_R2_3,45,15097227416754119136,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xd355,0x5375,15,1,,1,1,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
46,natural,n16_k11_random_systematic_linear_R2_3,46,14193301958052561048,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x9266,0x4946,7,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
47,natural,n16_k11_random_systematic_linear_R2_3,47,13311268918375145683,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xea00,0x7504,0,1,,1,1,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
48,natural,n16_k11_random_systematic_linear_R2_3,48,2366692013793088979,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xee7f,0x7677,9,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
49,natural,n16_k11_random_systematic_linear_R2_3,49,9845773840275722747,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xd8a8,0x6d58,4,1,,1,1,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
50,natural,n16_k11_random_systematic_linear_R2_3,50,6416723884317097272,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xd9c7,0x6dc7,10,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
51,natural,n16_k11_random_systematic_linear_R2_3,51,5619370234793666378,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x43e8,0x21e4,1,1,,1,1,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
52,natural,n16_k11_random_systematic_linear_R2_3,52,440601789502518760,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x61a9,0x30a9,11,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
53,natural,n16_k11_random_systematic_linear_R2_3,53,6444301291497463946,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xb35d,0x59af,1,0,,1,0,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
54,natural,n16_k11_random_systematic_linear_R2_3,54,17033998296383453635,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xc22,0x612,3,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
55,natural,n16_k11_random_systematic_linear_R2_3,55,16444353243073446957,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xa5ce,0x65ce,13,1,,1,1,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
56,natural,n16_k11_random_systematic_linear_R2_3,56,17729768231146686131,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x14b4,0xa74,6,0,,1,0,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
57,natural,n16_k11_random_systematic_linear_R2_3,57,6028869026611681377,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x195a,0xd5a,9,0,,1,0,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
58,natural,n16_k11_random_systematic_linear_R2_3,58,13050544159020041023,2,11625355266590740925,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0x8530,0x42b2,7,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400","0x92d,0x1276,0x24d3,0x4629,0x80d1",dense systematic parity map; seed=11625355266590740925
59,natural,n16_k11_random_systematic_linear_R2_3,59,47363196487324385,3,3483529925568382885,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xbd9a,0x7eca,6,2,,1,2,20000000,True,True,1000000,1500,2048,"0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00","0xf07,0x11f4,0x23c7,0x4258,0x8770",dense systematic parity map; seed=3483529925568382885
60,natural,n16_k11_random_systematic_linear_R2_3,60,7970025236554602532,0,5644894991930625670,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xd50e,0x640e,12,1,,1,1,20000000,True,True,1000000,1500,2048,"0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400","0xbfe,0x1600,0x2309,0x4187,0x87f3",dense systematic parity map; seed=5644894991930625670
61,natural,n16_k11_random_systematic_linear_R2_3,61,9953312617770589545,1,1370888506566975946,random_systematic_linear,R2_3,16,11,0.6875,1,20,0.05,0xb438,0x521c,2,1,,1,1,20000000,True,True,1000000,1500,2048,"0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400","0x834,0x1261,0x2529,0x435c,0x8097",dense systematic parity map; seed=1370888506566975946
