id	n	a	y	frontier	weights
134	9	3	0xbb	4,2,1,2,7,8,3,2,8	6,5,6,5,2,4,7,3,7
135	9	4	0xdf	3,1,9,1,4,7,2,3,5	1,3,5,4,6,7,7,4,2
136	9	19	0x80	6,8,4,3,5,6,1,3,9	1,6,4,1,3,6,6,0,1
137	9	99	0x5e	2,9,8,4,1,6,8,0,0	4,4,0,5,7,0,4,2,3
138	9	3	0xcf	0,9,9,0,6,8,8,1,8	7,2,1,1,3,3,2,4,4
139	9	4	0xcb	3,6,9,6,0,4,8,2,1	3,1,2,4,2,0,6,3,2
140	9	19	0xf8	9,8,4,1,2,9,4,9,2	0,6,0,4,0,0,5,3,2
141	9	99	0x6c	9,8,3,3,1,9,2,9,4	0,1,2,5,3,4,2,7,6
142	9	3	0x6a	4,7,3,9,1,3,7,6,7	0,4,4,3,3,6,7,0,2
143	9	4	0xf3	7,6,5,2,1,4,9,7,1	1,0,1,5,1,0,0,7,0
144	10	3	0xb	0,0,0,0,0,0,0,0,0,0	2,3,0,4,1,0,7,7,6,7
145	10	4	0xb5	1,1,1,1,1,1,1,1,1,1	6,7,1,3,4,6,2,4,4,4
146	10	19	0x3a	9,9,9,9,9,9,9,9,9,9	2,2,7,7,0,3,5,6,6,1
147	10	99	0x10f	10,10,10,10,10,10,10,10,10,10	2,2,5,7,6,6,6,5,4,1
148	10	3	0x4d	0,1,2,0,1,2,0,1,2,0	5,1,0,1,6,0,5,7,0,4
149	10	4	0x177	0,1,0,1,0,1,0,1,0,1	5,6,5,5,4,1,0,2,3,5
150	10	19	0xab	7,0,1,3,8,7,6,3,6,1	5,4,0,7,0,4,6,2,1,1
151	10	99	0xf7	0,5,10,5,2,4,2,6,3,2	0,0,2,5,6,6,0,1,1,2
152	10	3	0x1e4	9,2,10,2,9,4,9,8,4,10	7,7,5,6,7,6,5,7,0,5
153	10	4	0x1e9	2,2,8,9,4,4,0,5,7,5	6,1,3,0,3,0,0,1,6,0
154	10	19	0x8	2,0,10,8,8,7,6,3,9,4	0,2,2,3,6,4,5,2,3,1
155	10	99	0x29	4,6,3,5,5,9,8,5,7,7	1,6,6,4,5,6,3,5,0,3
156	10	3	0x10	9,10,9,5,4,6,3,9,4,2	1,3,6,4,0,6,5,7,3,7
157	10	4	0x170	8,4,2,3,8,10,6,3,10,2	3,6,4,7,0,0,2,0,2,3
158	10	19	0x3d	1,5,1,6,7,3,8,0,8,2	0,4,5,0,3,4,3,5,0,7
159	10	99	0x17c	3,10,7,10,0,7,5,10,9,4	1,5,4,7,0,7,6,6,7,4
160	10	3	0x1a8	2,3,10,8,0,3,4,1,3,8	7,5,1,6,4,6,5,7,7,0
161	10	4	0x0	5,1,1,6,8,10,9,4,9,4	5,0,7,3,1,0,7,7,7,1
162	11	3	0x205	0,0,0,0,0,0,0,0,0,0,0	1,0,1,4,6,0,0,1,5,5,4
163	11	4	0x125	1,1,1,1,1,1,1,1,1,1,1	6,0,2,3,3,0,4,2,1,0,4
164	11	19	0x4b	10,10,10,10,10,10,10,10,10,10,10	3,2,7,4,5,3,7,7,4,7,4
165	11	99	0x19f	11,11,11,11,11,11,11,11,11,11,11	0,3,4,4,1,2,4,6,1,5,2
166	11	3	0x2e8	0,1,2,0,1,2,0,1,2,0,1	2,6,0,6,2,6,1,3,2,0,1
167	11	4	0xd2	0,1,0,1,0,1,0,1,0,1,0	2,5,2,5,7,6,7,4,4,6,5
168	11	19	0x84	10,4,2,1,2,3,0,9,10,11,7	7,0,6,0,0,3,6,0,1,3,0
169	11	99	0xf7	5,7,8,4,8,5,9,2,9,6,3	6,1,4,7,1,2,7,2,0,7,3
170	11	3	0x2c5	6,10,0,8,3,0,2,11,10,4,7	3,4,0,2,1,2,4,2,3,0,2
171	11	4	0x261	11,5,1,9,8,3,7,9,0,8,1	0,5,0,2,7,1,1,4,4,1,7
172	11	19	0x3d4	4,4,4,5,4,4,7,5,7,3,2	6,1,3,7,5,4,4,2,0,3,7
173	11	99	0x14d	9,9,1,0,2,2,1,7,4,6,11	6,4,6,3,3,0,0,4,3,6,0
174	11	3	0x2b3	6,3,3,10,0,2,5,9,9,4,6	0,0,3,4,2,5,6,7,5,5,2
175	11	4	0x231	5,11,1,3,2,7,6,7,7,5,8	6,4,4,6,1,0,1,6,6,0,5
176	11	19	0x177	10,3,0,10,5,11,7,6,2,10,8	2,7,1,7,6,0,2,4,6,3,1
177	11	99	0xa2	5,3,8,6,10,7,5,1,1,11,0	5,0,3,4,4,1,4,1,2,6,7
178	11	3	0x3fc	11,8,7,5,10,3,9,1,6,4,6	3,7,5,5,3,7,6,3,5,4,0
179	11	4	0x2db	8,7,2,1,7,9,8,1,2,2,5	3,6,7,5,5,3,3,4,4,5,5
180	12	3	0x336	0,0,0,0,0,0,0,0,0,0,0,0	7,6,5,5,1,6,6,4,3,7,2,7
181	12	4	0x114	1,1,1,1,1,1,1,1,1,1,1,1	3,7,0,2,6,4,7,0,0,5,4,4
182	12	19	0x5af	11,11,11,11,11,11,11,11,11,11,11,11	4,3,2,7,5,3,7,4,7,3,7,2
183	12	99	0x34e	12,12,12,12,12,12,12,12,12,12,12,12	4,3,5,7,6,5,4,7,7,5,7,5
184	12	3	0x72a	0,1,2,0,1,2,0,1,2,0,1,2	6,0,4,2,6,6,0,0,1,1,4,1
185	12	4	0x3a9	0,1,0,1,0,1,0,1,0,1,0,1	5,6,2,6,7,1,5,6,4,0,0,6
186	12	19	0x750	4,3,3,3,4,1,8,7,9,2,8,5	0,5,2,0,5,0,7,6,5,4,3,6
187	12	99	0xee	2,12,6,7,10,10,0,5,8,5,6,0	2,2,2,4,1,7,3,6,7,2,6,3
188	12	3	0x26a	10,8,5,12,10,6,11,1,10,6,1,2	4,1,2,5,1,2,2,7,3,2,0,4
189	12	4	0x48f	1,3,11,7,7,6,4,11,6,2,3,3	2,7,2,1,6,4,5,4,2,6,0,5
190	12	19	0x489	3,0,1,2,12,0,11,9,11,8,8,5	5,7,3,3,6,2,5,7,5,5,4,3
191	12	99	0x6e8	12,3,1,2,0,9,9,10,4,9,9,8	6,3,3,0,3,5,4,5,2,2,7,4
192	12	3	0xe1	4,3,12,7,11,7,8,7,10,10,9,6	7,7,1,1,1,1,5,4,2,4,6,3
193	12	4	0x1e0	7,6,3,2,1,2,5,8,9,1,10,8	6,4,0,6,6,0,2,5,6,4,0,2
194	12	19	0x6b	5,6,5,1,9,4,4,5,7,0,9,11	2,0,7,6,5,2,1,3,3,7,0,0
195	12	99	0x577	2,2,5,5,0,6,5,9,0,5,3,2	1,1,6,1,6,1,1,4,2,4,2,4
196	12	3	0x56b	5,11,9,7,1,0,6,11,2,9,0,9	4,0,0,2,1,3,7,3,2,4,5,0
197	12	4	0x3f9	4,2,6,9,0,11,11,1,1,11,10,6	7,4,7,3,7,2,6,2,5,0,7,3
